RAISON_SOCIALE;SIRET;SIREN;APE;CODE_NAF;LIBELE_NAF;CIVILITE;NOM;PRENOM;TELEPHONE;email;address;CODE POSTALE;REGION;PAYS
;;;;;;MR. ;Burg&ER;H-an;;lagrave@gmail.;;;;
;;;;;;Mme;Emeline & Marie-Sophie;A;;em&ms@gmail..com;;;;
;;;;;;MONSIEUR;Edgard;Pascalou;;pascale@gmail.coomeeee;;;;
;;;;;;MR;Genoît;Sébastien;;lucas31@gmail.f;;;;
;;;;;;MR.;pe-tit;LOUCA;;pt'i@gmail.commmee;;;;
;;;;;;MM;Carre_/;Alexandre;;;;;;
;;;;;;Docteur;LAG_RAV*;Sven;;;;;;
BOUCHERIE LEVIS;443 169 524 00120;732829320;6201z;0111z;9584z;;;;146773218;dupont@gmail.com;;;;
TIGERMilk;443.169.524.00120;732829320111;62.01z;01.11z;0222.z;;;;02 85 78 45 21;oyete @gmail.com;;;;
"""vanescènce";8594 859 740 GH780;73289;62,01z;01,11z;01,11z;;;;585785478;imaginôs31@gmail.com;;;;
"ED""BANGER";4ZT 169 524 00120;ABCDE7328F29320;62011z;01011z;01011z;;;;712587469;imagin''31@gmail.com;;;;
B;4b169524R00120;732-8293-20;62011;1111;1111;;;;07 85 78 45 21b;abeille@gmail.com;;;;
//MONEYY//;443-73-421-00395;732 8293 2;620z;011z;011z;;;;33068523697454;@gmail.com;;;;
Paul&JO;44240304900234;95048;7593;01C;;M.;Dupont;jean;330685236974;jeandupgm-ail.com;;;;
HecøTOR;4950391;950483272911;94Z;04-54B;0;MME;Petit Jean;Marie-Sophie;06.58.96.32.47;petitjean.@gmail.com;;;;
annagirardot;10849;732829396;6205Z;;;MADAME;A;Anne10;06-58-96a32’47;Anna@siapartnersrue(XXXX....XXXX).com;;;;
;;;;;;MM;Mère;Hélène*3;1057;hélène@;;;;
;;;;;;MAD;Carré;Amélie;3937;amélie@gmail.c-om;;;;
;;;;;;M(espace);Genüt;Benoît;118456;benoît@.gmail.com;;;;
;;;;;;MR. ;Petit-Jean;Üïû;294859405849584;Petit-Jean@gmail.;;;;
;;;;;;MADEMOIZELLE;/CARLE/;A;081 6 75 57 98 ;aa@gmail..com;;;;
;;;;;;MONSIEUR;"""CARLES""";Pépère;06 46 73 84 93;pep@gmail.c-om;;;;
;;;;;;MISS;Petitange;Maëva;0174933048;maëva@gmail.f;;;;
;;;;;;M.MME;Gramat & Dagant;Paul;958601729;lucas31@gmail.commmee;;;;
;;;;;;MR & MME;mbappé;didier&adeline;06.04.06.38.48.29;mbappé@gmail.-fr;;;;
;;;;;;MONSIEURR;n'golo;kyky;"06.""é/940592";kyky@gmail;;;;
